name,number,x,y,z
HH0,0,-13.546152718365192,-118.15136713231914,-95.65242624888197
HH1,1,-18.8562233382836,-104.54280236107297,-95.60458193905652
HH2,2,-24.126308981329203,-90.91854572785087,-95.58226459799334
HH3,3,-29.532460814341903,-77.34768863976933,-95.47308043390512
HH4,4,-34.85061368625611,-63.742296662181616,-95.42007609317079
HH5,5,-40.16079090721905,-50.13377485028468,-95.37216348852962
HH6,6,-45.47099479287863,-36.525263734161854,-95.32423380855471
HH7,7,-50.79722992144525,-22.923044553026557,-95.26606943644583
HH8,8,-56.00345750618726,-9.27372656087391,-95.2845201198943
HH9,9,-61.40976872481406,4.29706476512365,-95.17523351730779
HH10,10,-66.6480589164421,17.933799208141863,-95.17321481788531
HH11,11,-4.947124190628529,-122.6747195259668,-84.7482977239415
HH12,12,-10.321200274862349,-109.09127354179509,-84.65959177771583
HH13,13,-15.65529118385166,-95.49213607236743,-84.59641271503642
HH14,14,-20.901383039541543,-81.85846364079043,-84.58941328991205
HH15,15,-26.25953425001353,-68.2687692285981,-84.51087370608002
HH16,16,-31.5696981260553,-54.66024235729128,-84.46296979766339
HH17,17,-36.88789097778499,-41.05486677354202,-84.4099400267005
HH18,18,-42.19010587967932,-27.443220707122236,-84.36711076227948
HH19,19,-47.50034975633025,-13.834725928027183,-84.31915563251823
HH20,20,-52.79461573343724,-0.21996053936891258,-84.28140101302415
HH21,21,-58.088908408768475,13.394794237799942,-84.24362931773067
HH22,22,-68.06348730064929,33.036269654054195,-87.7926962506026
HH23,23,3.6326422905549407,-127.20567166875117,-73.82022480107844
HH24,24,-1.661396904848516,-113.59081584983505,-73.78261543670669
HH25,25,-6.931455732323229,-99.96654914924875,-73.76031532371417
HH26,26,-12.3135741725564,-86.38626019773073,-73.66647528810427
HH27,27,-17.55967936757952,-72.75259314174764,-73.65946734882891
HH28,28,-22.957855644635856,-59.17860711249523,-73.55537561839446
HH29,29,-28.292039826512337,-45.57950758631341,-73.49213701160625
HH30,30,-33.610245999880135,-31.974137676414102,-73.43909887922928
HH31,31,-38.816446541808546,-18.32480974914506,-73.45756651740521
HH32,32,-44.222731402143836,-4.754008137388155,-73.34829771984369
HH33,33,-49.509008393622935,8.863892287947237,-73.31564346235245
HH34,34,-59.47232808917761,28.509827364468947,-76.88354639429599
HH35,35,-64.79068089090288,42.115138437598944,-76.83041429752484
