names,numbers,x,y,z
Tile011,11,-70.94908516807482,474.9437866723165,68.04283914761618
Tile012,12,-120.57053866470233,452.4909619484097,71.82765351748094
Tile013,13,-125.86349404836074,447.76076556928456,68.0942985219881
Tile014,14,-133.09511718107387,440.29342265520245,61.32189594535157
Tile015,15,-123.7360841720365,440.0233335895464,52.386082214303315
Tile016,16,-109.07572044525295,445.1128428457305,48.523472742177546
Tile017,17,-116.73888031579554,440.36485725734383,46.90246791532263
Tile018,18,-63.143963327631354,456.16379947867244,27.266438717022538
Tile021,21,-89.38752599665895,474.1208052095026,83.05195605475456
Tile022,22,-81.76834313198924,474.38702647108585,76.69040060695261
Tile023,23,-98.14466129243374,470.89795144926757,85.03415989130735
Tile024,24,-125.02412229822949,455.8410264616832,81.81980226421729
Tile025,25,-138.77470488054678,449.67773832194507,83.14329610718414
Tile026,26,-132.68855058029294,450.128680489026,78.40888558421284
Tile027,27,-137.49142008647323,445.23598315473646,74.00961447414011
Tile028,28,-52.22211663611233,496.07843038998544,89.7360925343819
Tile031,31,-170.64267846895382,392.3379183644429,10.723687680903822
Tile032,32,-174.7042136248201,400.8291080798954,29.28096728725359
Tile033,33,-162.41366588044912,413.5371137736365,40.69098071521148
Tile034,34,-150.40827492903918,420.91124446410686,42.715308177284896
Tile035,35,-143.91094724368304,430.9766278062016,54.540207675192505
Tile036,36,-140.98646326409653,436.79282464273274,62.20056855445728
Tile037,37,-150.76615704316646,433.9437109231949,66.0573724899441
Tile038,38,-159.2924252222292,430.0184106081724,66.870532609988
Tile041,41,-145.19775528879836,440.531622110866,72.66708368528634
Tile042,42,-152.43472837517038,437.2677377248183,73.39792652474716
Tile043,43,-144.173763836734,444.9426722424105,79.55160380201414
Tile044,44,-165.62296499917284,431.1790547668934,74.65702246548608
Tile045,45,-159.4366882396862,435.83067028876394,77.34682057797909
Tile046,46,-184.09561608312652,416.97912334278226,66.17770672170445
Tile047,47,-159.35618091141805,439.994646737352,84.46742818597704
Tile048,48,-193.0663852794096,417.5523051870987,75.28546515060589
Tile051,51,-126.61953580519184,375.8538865437731,-57.83430416462943
Tile052,52,-300.2097547510639,202.28956443350762,-207.2682695328258
Tile053,53,-147.04589850455523,341.10616021137685,-100.32952320808545
Tile054,54,-216.46664563240483,226.4063316443935,-240.82837280165404
Tile055,55,-235.8831179542467,127.17705702781677,-401.38681488018483
Tile056,56,-85.94094904791564,321.6539569115266,-189.01813920680434
Tile057,57,-37.2739542578347,337.17350926063955,-204.6084785866551
Tile058,58,-98.23535217624158,390.53960690647364,-57.58344530686736
BIGHORNS,59,9.313225746154785e-10,-9.313225746154785e-10,-4.656612873077393e-10
Tile061,61,-101.00512128369883,435.63137482572347,24.48713339213282
Tile062,62,-109.65837201057002,437.8181091900915,36.08229594677687
Tile063,63,-124.40569258714095,430.00551306735724,35.34079232113436
Tile064,64,-128.23774741729721,432.50142503902316,43.194191343616694
Tile065,65,-133.97228051442653,434.06844706088305,51.12847859226167
Tile066,66,-135.39881216548383,427.76753665786237,41.24365539941937
Tile067,67,-141.53745850222185,421.163073993288,35.055533062666655
Tile068,68,-150.6644048905,412.87512847874314,28.770311285275966
Tile071,71,-14.39546279516071,465.2719793654978,0.06466230424121022
Tile072,72,6.7291985671035945,428.14936602301896,-84.42354635801166
Tile073,73,143.42642416106537,348.19269869849086,-343.73097494244576
Tile074,74,205.20679217856377,456.2166590327397,-208.01344069093466
Tile075,75,257.3117099762894,496.257835672237,-182.80477470858023
Tile076,76,231.30155398370698,583.9763635555282,-2.9756301371380687
Tile077,77,138.13370817154646,537.1064760247245,-5.282211924903095
Tile078,78,126.0561808492057,572.4768426567316,69.43317180592567
AAVS0.5,79,9.313225746154785e-10,-9.313225746154785e-10,-4.656612873077393e-10
Tile081,81,-122.51954514253885,601.4038838930428,343.6472030589357
Tile082,82,-107.28031549509615,498.84099242743105,143.88769889436662
Tile083,83,-148.21373294247314,450.50363862514496,93.16902894480154
Tile084,84,-140.85978757450357,455.824880679138,96.05095027014613
Tile085,85,-119.01122090918943,468.4926802739501,99.38128630490974
Tile086,86,-119.9975984939374,462.05961012654006,88.59742851927876
Tile087,87,128.32609883649275,625.5343548171222,163.2604917064309
Tile088,88,6.479257119819522,574.2434272849932,179.08975026896223
Tile091,91,-482.46185235027224,233.8949148124084,13.846921826712787
Tile092,92,-344.4081975473091,299.2849707296118,4.41653436422348
Tile093,93,-207.95337646082044,419.59750746004283,92.2407591980882
Tile094,94,-167.6059744209051,437.38587514776736,87.34149826830253
Tile095,95,-160.76049384009093,445.11623106803745,94.87452235957608
Tile096,96,-191.85759293148294,457.0404966697097,144.2006170656532
Tile097,97,-303.79436080902815,493.11983446683735,309.9200771492906
Tile098,98,-331.4699394381605,470.7921325294301,294.6578089450486
EDA1,99,9.313225746154785e-10,-9.313225746154785e-10,-4.656612873077393e-10
Tile101,101,185.91423393553123,784.0083084730431,397.5824601734057
Tile102,102,166.31655953545123,760.4142619101331,372.4929451746866
Tile103,103,280.8726341249421,723.0904202200472,202.9441383574158
Tile104,104,393.370841702912,521.6698613893241,-259.32323602214456
Tile105,105,405.0747475689277,649.3998707458377,-41.205155993811786
Tile106,106,419.26349424012005,691.4637004425749,21.350608801469207
Tile107,107,795.9629415678792,820.5725961448625,-91.72103485651314
Tile108,108,650.9847757141106,989.9524736171588,345.1203074022196
Tile111,111,-185.6192684629932,1113.09335169103,1316.7585543356836
Tile112,112,-128.05111209861934,760.9823477230966,634.3816589624621
Tile113,113,-152.50527342641726,690.6230269707739,530.0880328915082
Tile114,114,-100.10468479478732,771.7385452389717,629.0015848963521
Tile115,115,-129.63958835648373,692.55728945788,513.3984455419704
Tile116,116,-74.41360170627013,704.3182055698708,485.67427645251155
Tile117,117,-23.15900308592245,716.0096861738712,461.33942186972126
Tile118,118,426.7661199020222,1131.9973674546927,805.5732000325806
Tile121,121,-1073.9081009216607,541.9269414851442,1086.95476775337
Tile122,122,-532.5637595201842,418.4632759336382,383.73329092003405
Tile123,123,-518.6622671829537,501.636874509044,517.5594904320315
Tile124,124,-519.6695320592262,526.8830403294414,563.420851890929
Tile125,125,-370.14161356864497,599.9939142148942,559.3165981778875
Tile126,126,-261.3396389251575,651.4383294135332,555.4694178397767
Tile127,127,-374.05712927505374,666.2008568448946,679.7753914576024
Tile128,128,-435.69539699936286,865.1229979544878,1093.7356130960397
Tile131,131,-1099.8086840678006,318.23945206496865,717.0766918235458
Tile132,132,-1374.5059109083377,113.54149704892188,599.7591205672361
Tile133,133,-1434.0337766003795,-71.64357528742403,327.85459972405806
Tile134,134,-695.5588268223219,145.7668323982507,51.10296545596793
Tile135,135,-732.5710327224806,185.09971948619932,153.4877573819831
Tile136,136,-672.1332727307454,248.98725895769894,212.03861773805693
Tile137,137,-730.6169551615603,276.879961819388,314.1457597478293
Tile138,138,-622.299223229289,389.91257861815393,415.0353462952189
Tile141,141,-1162.4459992162883,-138.53440246358514,-30.31651540985331
Tile142,142,-1131.6727505074814,-422.9992125714198,-561.5486797969788
Tile143,143,-541.8723543439992,-32.10725495778024,-404.09920846065506
Tile144,144,-409.493233950343,144.20900057349354,-212.0765608921647
Tile145,145,-473.5737397391349,117.04564133379608,-202.5402532913722
Tile146,146,-617.525752204936,16.70239063538611,-248.9718106254004
Tile147,147,-601.720077786129,68.84970733337104,-170.4087515999563
Tile148,148,-632.6532194321044,92.70517925079912,-100.0090569453314
Tile151,151,-523.7354776151478,-413.8535301061347,-1093.8688373877667
Tile152,152,-376.6666136998683,-237.04437882173806,-913.5269045685418
Tile153,153,4.930653678718954,121.18365757819265,-619.0211790436879
Tile154,154,-101.40943232178688,119.31118784099817,-529.9353190967813
Tile155,155,-286.36087213177234,51.35212894808501,-488.35832212120295
Tile156,156,-307.08511891728267,36.59752210788429,-495.9896195982583
Tile157,157,-377.1792414286174,25.307056672871113,-453.0718973306939
Tile158,158,-380.04901493666694,30.100113306194544,-442.2166783493012
Tile161,161,301.11278354516253,319.4344189064577,-533.4947160650045
Tile162,162,61.792208429891616,193.1108225202188,-543.2862781742588
Tile163,163,443.3401338607073,187.36458077374846,-899.022084900178
Tile164,164,537.9118178323843,211.322244011797,-940.4424392199144
Tile165,165,580.6345395948738,345.6858494654298,-739.4298171265982
Tile166,166,463.05743799498305,484.81246886216104,-387.73986822506413
Tile167,167,449.3899874622002,516.1075590914115,-320.1048802048899
Tile168,168,409.53657158464193,451.31290091294795,-398.8178731375374
RFI_monitor,999,9.313225746154785e-10,-9.313225746154785e-10,-4.656612873077393e-10
HexE01,1001,-285.36057422030717,375.671235374175,84.7469230229035
HexE02,1002,-297.8156343032606,369.33489011693746,84.75603994587436
HexE03,1003,-310.2238865448162,362.84966343734413,84.86391590768471
HexE04,1004,-322.6679909154773,356.44695056416094,84.94563663145527
HexE05,1005,-276.6508849239908,373.9357881229371,73.90977209666744
HexE06,1006,-289.0638924767263,367.5246358960867,73.97768104216084
HexE07,1007,-301.545576794073,361.1254462422803,74.01463197125122
HexE08,1008,-314.00377698848024,354.7597067821771,74.101177057717
HexE09,1009,-326.45288927014917,348.3268624357879,74.14941621664912
HexE10,1010,-267.95479649165645,372.1939998269081,63.069042393006384
HexE11,1011,-280.38255633879453,365.8144443780184,63.126134063117206
HexE12,1012,-292.85766821401194,359.4066259721294,63.19307411741465
HexE13,1013,-305.2984262285754,353.0195296276361,63.24614303559065
HexE14,1014,-317.7490862030536,346.6410069130361,63.312151971273124
HexE15,1015,-330.1972150839865,340.2017491143197,63.397077647503465
HexE16,1016,-259.2358168279752,370.4712471291423,52.23947680788115
HexE17,1017,-271.7002939055674,364.08681385964155,52.31621668022126
