frequency_Hz	Impedance_real	Impedance_imag
50000000.0	52.803	151.76
51000000.0	52.446	154.04
52000000.0	52.19	157.03
53000000.0	51.811	160.69
54000000.0	51.528	164.85
55000000.0	51.802	169.38
56000000.0	52.157	174.17
57000000.0	52.522	179.32
58000000.0	53.377	184.66
59000000.0	54.249	189.98
60000000.0	55.512	195.65
61000000.0	56.949	201.94
62000000.0	58.519	208.08
63000000.0	60.179	214.4
64000000.0	62.755	220.82
65000000.0	65.071	227.42
66000000.0	67.949	234.58
67000000.0	71.302	241.31
68000000.0	74.795	248.26
69000000.0	78.823	255.1
70000000.0	83.465	262.45
71000000.0	88.307	268.87
72000000.0	93.864	275.2
73000000.0	99.639	281.3
74000000.0	105.58	287.5
75000000.0	111.82	293.16
76000000.0	118.57	298.85
77000000.0	125.37	303.59
78000000.0	132.08	308.64
79000000.0	138.4	313.49
80000000.0	144.44	318.07
81000000.0	150.64	323.03
82000000.0	157.06	327.82
83000000.0	163.72	332.52
84000000.0	170.03	337.71
85000000.0	176.67	343.27
86000000.0	184.35	349.36
87000000.0	192.29	355.09
88000000.0	200.02	360.97
89000000.0	208.58	366.41
90000000.0	216.59	372.96
91000000.0	225.67	379.45
92000000.0	235.53	386.17
93000000.0	245.42	391.84
94000000.0	256.16	398.14
95000000.0	268.37	404.17
96000000.0	281.23	410.06
97000000.0	295.19	416.49
98000000.0	308.93	420.98
99000000.0	323.64	426.09
100000000.0	339.04	431.74
101000000.0	354.61	436.51
102000000.0	371.38	440.57
103000000.0	388.71	445.18
104000000.0	406.16	447.12
105000000.0	426.15	450.65
106000000.0	446.62	452.77
107000000.0	467.8	453.18
108000000.0	489.21	450.95
109000000.0	510.8	449.09
110000000.0	534.27	446.18
111000000.0	557.91	441.95
112000000.0	582.01	436.09
113000000.0	605.65	427.46
114000000.0	629.14	418.13
115000000.0	656.66	407.54
116000000.0	681.79	394.13
117000000.0	705.83	378.75
118000000.0	730.36	361.53
119000000.0	752.83	341.19
120000000.0	775.31	320.56
121000000.0	798.29	296.29
122000000.0	816.81	272.67
123000000.0	834.34	243.57
124000000.0	851.51	217.39
125000000.0	865.02	186.63
126000000.0	876.49	157.17
127000000.0	884.52	125.94
128000000.0	891.0	96.191
129000000.0	894.14	61.696
130000000.0	897.08	27.864
131000000.0	894.52	-3.5946
132000000.0	892.67	-35.799
133000000.0	887.2	-67.153
134000000.0	881.6	-99.435
135000000.0	872.62	-129.87
136000000.0	864.69	-155.42
137000000.0	853.69	-179.82
138000000.0	840.15	-205.61
